ID,Tag,Treatment,Genotype,Replicate,Species,Temperature,Phase,Time,FvFm,R_blank,G_blank,B_blank,R_coral,G_coral,B_coral
T2-6-2,T2-6-2_F,T2,6,2,Stylophora pistillata,35.57866298,F,18,0.175,195.9604082,194.9604082,191.0730612,82.94694956,61.59433037,34.81534862
T3-6-2,T3-6-2_I,T3,6,2,Stylophora pistillata,36.32067772,I,0,0.429,193.4885714,189.7432653,186.6583674,56.95,38.97,12.03
T3-6-2,T3-6-2_Middle,T3,6,2,Stylophora pistillata,36.32067772,Middle,7,0.068,NA,NA,NA,NA,NA,NA
T3-6-2,T3-6-2_F,T3,6,2,Stylophora pistillata,36.32067772,F,18,0.09,195.9604082,194.9604082,191.0730612,85.09821413,73.61076876,59.53204675
C-7-1,C-7-1_I,C,7,1,Stylophora pistillata,31.81368785,I,0,0.348,192.4634694,189.9744898,186.4708163,80.38640168,57.79203138,26.01819965
C-7-1,C-7-1_Middle,C,7,1,Stylophora pistillata,31.81368785,Middle,7,0.381,NA,NA,NA,NA,NA,NA
C-7-1,C-7-1_F,C,7,1,Stylophora pistillata,31.81368785,F,18,0.312,197.4918367,195.7571429,192.8591837,82.38396769,59.89116907,25.06124737
T1-7-1,T1-7-1_I,T1,7,1,Stylophora pistillata,33.65498611,I,0,0.343,192.4634694,189.9744898,186.4708163,86.36429608,63.44747125,26.55442671
T1-7-1,T1-7-1_Middle,T1,7,1,Stylophora pistillata,33.65498611,Middle,7,0.335,NA,NA,NA,NA,NA,NA
T1-7-1,T1-7-1_F,T1,7,1,Stylophora pistillata,33.65498611,F,18,0.275,197.4918367,195.7571429,192.8591837,74.1694138,53.60145174,18.77589686
T2-7-1,T2-7-1_I,T2,7,1,Stylophora pistillata,36.10948895,I,0,0.338,192.4634694,189.9744898,186.4708163,85.97338395,62.2570282,26.52160521
T2-7-1,T2-7-1_Middle,T2,7,1,Stylophora pistillata,36.10948895,Middle,7,0.303,NA,NA,NA,NA,NA,NA
T2-7-1,T2-7-1_F,T2,7,1,Stylophora pistillata,36.10948895,F,18,0.082,197.4769388,197.0173469,194.2402041,96.7143326,72.54952563,39.52282356
T3-7-1,T3-7-1_I,T3,7,1,Stylophora pistillata,37.86072744,I,0,0.367,192.4634694,189.9744898,186.4708163,70.76356426,50.01817581,19.05452743
T3-7-1,T3-7-1_Middle,T3,7,1,Stylophora pistillata,37.86072744,Middle,7,0.206,NA,NA,NA,NA,NA,NA
T3-7-1,T3-7-1_F,T3,7,1,Stylophora pistillata,37.86072744,F,18,0,197.4769388,197.0173469,194.2402041,84.34036591,61.93392723,33.40691714
C-7-2,C-7-2_I,C,7,2,Stylophora pistillata,31.81342634,I,0,0.333,192.4634694,189.9744898,186.4708163,84.51325187,59.76108672,21.5265156
C-7-2,C-7-2_Middle,C,7,2,Stylophora pistillata,31.81342634,Middle,7,0.414,NA,NA,NA,NA,NA,NA
C-7-2,C-7-2_F,C,7,2,Stylophora pistillata,31.81342634,F,18,0.281,196.94,194.8730612,192.0306122,90.40288704,63.82776436,20.54204637
T1-7-2,T1-7-2_I,T1,7,2,Stylophora pistillata,34.09503478,I,0,0.354,192.4634694,189.9744898,186.4708163,76.34222766,52.37220182,15.04667483
T1-7-2,T1-7-2_Middle,T1,7,2,Stylophora pistillata,34.09503478,Middle,7,0.418,NA,NA,NA,NA,NA,NA
T1-7-2,T1-7-2_F,T1,7,2,Stylophora pistillata,34.09503478,F,18,0.286,196.94,194.8730612,192.0306122,72.50975144,51.03528416,14.98652775
T2-7-2,T2-7-2_I,T2,7,2,Stylophora pistillata,35.57866298,I,0,0.347,192.4634694,189.9744898,186.4708163,86.39983852,63.74843565,30.91925949
T2-7-2,T2-7-2_Middle,T2,7,2,Stylophora pistillata,35.57866298,Middle,7,0.376,NA,NA,NA,NA,NA,NA
